No,AA,C#,Mw,HLB,EO,Conc,pH,IE,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
189.0,99.5,17.0,2462.5,17.9,50.0,0.5,4.9,58.23,,,,,,,,,,,,,,,
190.0,99.0,17.0,3784.0,20.0,80.0,0.5,4.9,40.4,,,,,,,,,,,,,,,
191.0,99.8,10.0,270.125,8.1,2.5,0.5,4.9,35.94,,,,,,,,,,,,,,,
192.0,99.5,10.0,424.3,12.5,6.0,0.5,4.9,41.3,,,,,,,,,,,,,,,
193.0,99.0,13.0,1962.0,18.0,40.0,0.5,4.9,28.82,,,,,,,,,,,,,,,
194.0,99.5,13.0,640.5,13.6,10.0,0.5,4.9,19.39,,,,,,,,,,,,,,,
195.0,99.5,0.0,3300.0,4.5,8.0,0.5,4.9,31.88,,,,,,,,,,,,,,,
196.0,99.5,0.0,1100.0,4.0,8.0,0.5,4.9,12.23,,,,,,,,,,,,,,,
197.0,99.5,0.0,1900.0,21.5,20.0,0.5,4.9,11.91,,,,,,,,,,,,,,,
198.0,99.5,0.0,8400.0,24.0,164.0,0.5,4.9,21.69,,,,,,,,,,,,,,,
199.0,99.5,0.0,14600.0,24.0,272.0,0.5,4.9,28.77,,,,,,,,,,,,,,,
200.0,99.5,0.0,12600.0,21.5,190.0,0.5,4.9,40.27,,,,,,,,,,,,,,,
201.0,50.0,0.0,62.0,8.3,1.0,0.5,4.9,9.92,,,,,,,,,,,,,,,
202.0,64.0,8.0,625.0,13.5,9.5,0.5,4.9,14.23,,,,,,,,,,,,,,,
203.0,70.0,12.0,1228.0,16.7,20.0,0.5,4.9,66.16,,,,,,,,,,,,,,,
204.0,50.0,18.0,1310.0,15.0,20.0,0.5,4.9,66.73,,,,,,,,,,,,,,,
205.0,99.0,9.0,346.0,8.6,0.0,0.5,4.9,46.3,,,,,,,,,,,,,,,
206.0,100.0,17.0,428.0,4.3,0.0,0.5,4.9,46.06,,,,,,,,,,,,,,,
207.0,100.0,13.0,,,,0.5,4.9,91.29,,,,,,,,,,,,,,,
208.0,100.0,9.0,,,,0.5,4.9,33.43,,,,,,,,,,,,,,,
209.0,100.0,9.0,,,,0.5,4.9,59.83,,,,,,,,,,,,,,,
210.0,97.0,12.0,,,,0.5,4.9,52.22,,,,,,,,,,,,,,,
211.0,100.0,0.0,2000.0,3.0,,0.5,4.9,24.86,,,,,,,,,,,,,,,
212.0,100.0,0.0,2500.0,7.0,,0.5,4.9,12.71,,,,,,,,,,,,,,,
213.0,100.0,0.0,3800.0,1.0,,0.5,4.9,44.41,,,,,,,,,,,,,,,
214.0,100.0,,333.0,8.0,3.0,0.5,4.9,22.57,,,,,,,,,,,,,,,
215.0,95.0,,1496.0,17.4,30.0,0.5,4.9,31.61,,,,,,,,,,,,,,,
216.0,100.0,,1000.0,5.0,,0.5,4.9,27.99,,,,,,,,,,,,,,,
217.0,100.0,11.0,,6.0,,0.5,4.9,31.57,,,,,,,,,,,,,,,
218.0,100.0,,394.0,10.9,5.0,0.5,4.9,-12.27,,,,,,,,,,,,,,,
219.0,95.0,,2877.0,18.0,60.0,0.5,4.9,24.06,,,,,,,,,,,,,,,
220.0,99.0,0.0,5900.0,13.0,,0.5,4.9,48.7,,,,,,,,,,,,,,,
221.0,100.0,,3650.0,7.0,,0.5,4.9,71.54,,,,,,,,,,,,,,,
222.0,100.0,0.0,6200.0,14.0,,0.5,4.9,32.75,,,,,,,,,,,,,,,
223.0,100.0,11.0,569.0,13.9,9.0,0.5,4.9,38.09,,,,,,,,,,,,,,,
224.0,100.0,10.0,425.0,12.4,6.0,0.5,4.9,30.27,,,,,,,,,,,,,,,
225.0,100.0,,,5.0,2.0,0.5,4.9,23.57,,,,,,,,,,,,,,,
226.0,100.0,0.0,7900.0,13.0,,0.5,4.9,34.52,,,,,,,,,,,,,,,
227.0,99.5,13.0,1520.0,17.4,31.0,0.5,4.9,29.57,,,,,,,,,,,,,,,
228.0,99.5,,,12.5,,0.5,4.9,10.59,,,,,,,,,,,,,,,
229.0,99.0,14.0,735.0,14.0,,0.5,4.9,31.86,,,,,,,,,,,,,,,
230.0,70.0,8.0,1526.0,17.3,30.0,0.5,4.9,50.11,,,,,,,,,,,,,,,
231.0,99.5,0.0,2000.0,15.0,10.0,0.5,4.9,35.54,,,,,,,,,,,,,,,
232.0,99.5,0.0,5800.0,8.0,20.0,0.5,4.9,27.15,,,,,,,,,,,,,,,
233.0,35.0,,,,,0.5,4.9,17.41,,,,,,,,,,,,,,,
234.0,85.0,9.0,1338.7071,,,0.5,4.9,15.88,,,,,,,,,,,,,,,
235.0,99.5,17.0,,5.0,,0.5,4.9,23.77,,,,,,,,,,,,,,,
236.0,40.0,21.0,,,,0.5,4.9,87.5,,,,,,,,,,,,,,,
237.0,99.9,13.0,244.05,3.7,1.0,0.1,4.9,64.98,,,,,,,,,,,,,,,
238.0,99.5,13.0,508.35,12.3,7.0,0.1,4.9,63.3,,,,,,,,,,,,,,,
239.0,99.5,12.0,650.5,13.5,10.0,0.1,4.9,76.96,,,,,,,,,,,,,,,
240.0,99.5,18.0,500.25,8.5,5.0,0.1,4.9,57.05,,,,,,,,,,,,,,,
241.0,99.0,18.0,2047.0,17.3,40.0,0.1,4.9,56.65,,,,,,,,,,,,,,,
242.0,99.0,55.0,9740.0,18.0,200.0,0.1,4.9,65.15,,,,,,,,,,,,,,,
243.0,99.5,55.0,2692.0,13.0,40.0,0.1,4.9,31.41,,,,,,,,,,,,,,,
244.0,97.0,55.0,2692.0,14.0,40.0,0.1,4.9,51.46,,,,,,,,,,,,,,,
245.0,90.0,13.0,684.55,14.0,11.0,0.1,4.9,91.13,,,,,,,,,,,,,,,
246.0,99.5,17.0,744.55,13.0,11.0,0.1,4.9,22.39,,,,,,,,,,,,,,,
247.0,99.5,17.0,1361.25,16.1,25.0,0.1,4.9,24.17,,,,,,,,,,,,,,,
248.0,99.5,17.0,2462.5,17.9,50.0,0.1,4.9,63.02,,,,,,,,,,,,,,,
249.0,99.0,17.0,3784.0,20.0,80.0,0.1,4.9,94.04,,,,,,,,,,,,,,,
250.0,99.8,10.0,270.125,8.1,2.5,0.1,4.9,76.84,,,,,,,,,,,,,,,
251.0,99.5,10.0,424.3,12.5,6.0,0.1,4.9,-25.5,,,,,,,,,,,,,,,
252.0,99.0,13.0,1962.0,18.0,40.0,0.1,4.9,62.62,,,,,,,,,,,,,,,
253.0,99.5,13.0,640.5,13.6,10.0,0.1,4.9,43.24,,,,,,,,,,,,,,,
